Well_ext,Well_id,Stage_id,date,start_time,end_time,start_date,end_date,hours,total_time,current_stage,activity_code,activity_sub_code,activity_sub_sub_code,stage_complete,avg_rate_bpm,avg_pressure_psi,description
,3106-,,6/12/2022,17:00:00,14:00:00,6/12/2022 17:00,6/17/2022 14:00,117,117:00:00,,9. NPT - Operator,9.F. NPT - Wait On Location - Standby,,,,,Waiting for Javelin to ok the spotting of equipment and rig up.
,3106-,,6/20/2022,07:19:00,10:33:00,6/20/2022 07:19,6/20/2022 10:33,3.233333333,03:14,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.10. - NPT - HP Pumping Unit - Valves & Seats,,,,pump maintenance
,3106-,,6/20/2022,13:39:00,15:06:00,6/20/2022 13:39,6/20/2022 15:06,1.45,01:26,,8. NPT - UPP,8.C. NPT - Equipment,8.C.12. NPT - Missile,,,,Replace Flapper valves St 1&2
,3106-,,6/20/2022,18:37:00,19:32:00,6/20/2022 18:37,6/20/2022 19:32,0.916666667,00:55,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,long wireline run.
Talon B 304,3106-Talon B 304,,6/20/2022,23:03:00,23:29:00,6/20/2022 23:03,6/20/2022 23:29,0.433333333,00:26,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,swap 2 pumps. pull out 1 pump. packing in line.
,3106-,,6/21/2022,02:37:00,02:51:00,6/21/2022 02:37,6/21/2022 02:51,0.233333333,00:14,,8. NPT - UPP,8.A. NPT - Logistics,8.A.3. NPT - Waiting On Iron,,,,Scout actuated valves
,3106-,,6/21/2022,05:46:00,05:56:00,6/21/2022 05:46,6/21/2022 05:56,0.166666667,00:10,,9. NPT - Operator,9.K. NPT - Wait On Operator Orders,,,,,wait on Javelin order
Talon B 304,3106-Talon B 304,,6/21/2022,09:10:00,09:36:00,6/21/2022 09:10,6/21/2022 09:36,0.433333333,00:26,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,wait on wireline
,3106-,,6/21/2022,12:31:00,12:55:00,6/21/2022 12:31,6/21/2022 12:55,0.4,00:24,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,waiting on wireline
,3106-,,6/21/2022,12:55:00,13:21:00,6/21/2022 12:55,6/21/2022 13:21,0.433333333,00:26,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Blender inspection
,3106-,,6/21/2022,16:22:00,19:17:00,6/21/2022 16:22,6/21/2022 19:17,2.916666667,02:54,,9. NPT - Operator,9.D. NPT - Water Transfer,,,,,wait to water transfer
,3106-,,6/22/2022,04:23:00,15:43:00,6/22/2022 04:23,6/22/2022 15:43,11.33333333,11:20,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,leak at the zipper manifold
,3106-,,6/22/2022,21:51:00,22:00:00,6/22/2022 21:51,6/22/2022 22:00,0.15,00:09,,8. NPT - UPP,8.C. NPT - Equipment,8.C.7. NPT - Sand Delivery System,,,,Silo Run Box Error.
,3106-,,6/23/2022,00:51:00,03:46:00,6/23/2022 00:51,6/23/2022 03:46,2.916666667,02:54,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.10. - NPT - Blender - Hydraulics,,,,Auger 2 hydraulic leak.
,3106-,,6/23/2022,04:00:00,04:12:00,6/23/2022 04:00,6/23/2022 04:12,0.2,00:12,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Totalizers and tub level not reading properly.
,3106-,,6/23/2022,09:16:00,09:39:58,6/23/2022 09:16,6/23/2022 09:39,0.399444444,00:23,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,"In additon to swapping a pump due to blown sleeve, we replace a packing on pump 5"
,3106-,,6/23/2022,12:24:00,12:53:23,6/23/2022 12:24,6/23/2022 12:53,0.489722222,00:29,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,"Performed necessary pump maintenance on pump 12. In addition, refilled greasers"
Talon B 304,3106-Talon B 304,,6/23/2022,15:47:00,16:14:00,6/23/2022 15:47,6/23/2022 16:14,0.45,00:27,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,"In addition to pump swapping, we performed a Blender Inspection, reset the data van, topped off oils and greased the low side"
,3106-,,6/23/2022,17:24:00,17:57:00,6/23/2022 17:24,6/23/2022 17:57,0.55,00:33,,8. NPT - UPP,8.C. NPT - Equipment,8.C.11. NPT - Iron,,,,Shutdown during stage due to blown high psi seal coming off the pop-off.
,3106-,,6/23/2022,19:58:00,20:21:00,6/23/2022 19:58,6/23/2022 20:21,0.383333333,00:23,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.2. - NPT - HP Pumping Unit - Radiator,,,,Top off coolant. Swap out hoses. Rig in pump.
,3106-,,6/23/2022,20:21:00,20:28:00,6/23/2022 20:21,6/23/2022 20:28,0.116666667,00:07,,9. NPT - Operator,9.A. NPT - Wireline,9.A.1. NPT - Wait On Wireline,,,,Waiting for Wireline to get off the well.
,3106-,,6/24/2022,02:05:00,02:23:00,6/24/2022 02:05,6/24/2022 02:23,0.3,00:18,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,"In addition, we had a mechanical issue with pump 10 (wouldn't go into gear)"
,3106-,,6/24/2022,02:53:00,02:57:00,6/24/2022 02:53,6/24/2022 02:57,0.066666667,00:04,,9. NPT - Operator,9.H. NPT - Wait On Sand,,,,,Sand Silo malfunctioning; not responding to entry
,3106-,,6/24/2022,05:11:00,05:28:00,6/24/2022 05:11,6/24/2022 05:28,0.283333333,00:17,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,"In addition we performed packing, replace hydraulic hose and greased pumps"
,3106-,,6/24/2022,05:28:00,05:45:00,6/24/2022 05:28,6/24/2022 05:45,0.283333333,00:17,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Flushing out zipper manifold
,3106-,,6/24/2022,08:34:00,08:43:00,6/24/2022 08:34,6/24/2022 08:43,0.15,00:09,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,Pump Swapping
,3106-,,6/24/2022,11:41:00,13:11:00,6/24/2022 11:41,6/24/2022 13:11,1.5,01:30,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.7. - NPT - HP Pumping Unit - Lube Pump,,,,Top off the oil on every pump in line. change out the auger greaser hose on the blender.  Replace all  valves and packings at station 1. Pull out a pump for a sleeve job. Waiting on a sleeve for that pump.
,3106-,,6/24/2022,15:59:00,16:22:00,6/24/2022 15:59,6/24/2022 16:22,0.383333333,00:23,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.7. - NPT - HP Pumping Unit - Lube Pump,,,,Fill the greasers on both sides. swap two pumps. pull out  a pump. put in a pump. valves and a packing in line.
,3106-,,6/24/2022,21:58:00,22:16:00,6/24/2022 21:58,6/24/2022 22:16,0.3,00:18,,8. NPT - UPP,8.C. NPT - Equipment,8.C.11. NPT - Iron,,,,Rig in backside pop off per Javelin consultant. Rig in a pump. Pump Valves.
,3106-,,6/25/2022,01:08:00,01:17:00,6/25/2022 01:08,6/25/2022 01:17,0.15,00:09,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.10. - NPT - HP Pumping Unit - Valves & Seats,,,,Valves station 19
Talon B 304,3106-Talon B 304,,6/25/2022,08:54:00,09:46:58,6/25/2022 08:54,6/25/2022 09:46,0.882777778,00:52,,8. NPT - UPP,8.A. NPT - Logistics,8.A.6. NPT - Waiting On Sand,,,,Solaris technician working on Silo's
,3106-,,6/25/2022,15:15:00,15:50:00,6/25/2022 15:15,6/25/2022 15:50,0.583333333,00:35,,9. NPT - Operator,9.K. NPT - Wait On Operator Orders,,,,,Blown Hydraulic line on the well being replaced
,3106-,,6/25/2022,18:32:00,19:12:00,6/25/2022 18:32,6/25/2022 19:12,0.666666667,00:40,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.10. - NPT - HP Pumping Unit - Valves & Seats,,,,Put in a new alternator at station 13.  Replace all valves at station 13. Replace all valves and a seat at station 12. Pump swap at station 18.
,3106-,,6/25/2022,22:06:00,22:42:00,6/25/2022 22:06,6/25/2022 22:42,0.6,00:36,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,swap a pump. valves on a pump. rig in a pump. work on drive shaft on a pump. reset data van computers.
,3106-,,6/25/2022,22:42:00,22:57:00,6/25/2022 22:42,6/25/2022 22:57,0.25,00:15,,8. NPT - UPP,8.C. NPT - Equipment,8.C.11. NPT - Iron,,,,leak by the pop off.
,3106-,,6/25/2022,22:57:00,23:04:00,6/25/2022 22:57,6/25/2022 23:04,0.116666667,00:07,,9. NPT - Operator,9.K. NPT - Wait On Operator Orders,,,,,Wating for Wireline consultant to open the well.
,3106-,,6/26/2022,04:26:00,04:34:00,6/26/2022 04:26,6/26/2022 04:34,0.133333333,00:08,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.7. - NPT - HP Pumping Unit - Lube Pump,,,,Fill pump Greasers. Packing In-line. Blender inspection.
,3106-,,6/26/2022,07:39:00,07:59:00,6/26/2022 07:39,6/26/2022 07:59,0.333333333,00:20,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Leak on the zipper
,3106-,,6/26/2022,09:08:00,09:22:00,6/26/2022 09:08,6/26/2022 09:22,0.233333333,00:14,,8. NPT - UPP,8.C. NPT - Equipment,8.C.11. NPT - Iron,,,,Low torque failure at the blender
,3106-,,6/26/2022,10:57:00,11:15:00,6/26/2022 10:57,6/26/2022 11:15,0.3,00:18,,8. NPT - UPP,8.C. NPT - Equipment,8.C.10. NPT - Transfer Pump,,,,"Had a issue with the boost pump, not building psi"
,3106-,,6/26/2022,14:07:00,14:22:00,6/26/2022 14:07,6/26/2022 14:22,0.25,00:15,,8. NPT - UPP,8.C. NPT - Equipment,8.C.7. NPT - Sand Delivery System,,,,Solaris here to calibrate silo and repair the generator
,3106-,,6/26/2022,14:22:00,14:56:38,6/26/2022 14:22,6/26/2022 14:56,0.577222222,00:34,,8. NPT - UPP,8.C. NPT - Equipment,8.C.10. NPT - Transfer Pump,,,,Tech here to repair and replace filters on the boost pump
,3106-,,6/26/2022,17:46:00,18:04:00,6/26/2022 17:46,6/26/2022 18:04,0.3,00:18,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,Rig out two pumps. Rig in one pump. Replace a discharge hose.
,3106-,,6/26/2022,18:04:00,18:38:00,6/26/2022 18:04,6/26/2022 18:38,0.566666667,00:34,,9. NPT - Operator,9.D. NPT - Water Transfer,,,,,Water transfer pump repair.
,3106-,,6/27/2022,00:12:00,00:24:00,6/27/2022 00:12,6/27/2022 00:24,0.2,00:12,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Flush zipper.
,3106-,,6/27/2022,03:06:00,07:46:00,6/27/2022 03:06,6/27/2022 07:46,4.666666667,04:40,,9. NPT - Operator,9.C. NPT - Equipment,9.C.2. NPT - Zipper Manifold,,,,Leaking gasket.
